date,url,performance,seo,accessibility,best_practices
2026-08-03,https://enormousdoor.com/launch-contact,54,66,98,96
2026-08-03,https://enormousdoor.com/pricing,57,100,100,96
2026-08-03,https://enormousdoor.com/technical-faq,52,100,98,96
2026-08-03,https://enormousdoor.com/vinyl-mastering,74,100,100,96
2026-08-03,https://enormousdoor.com/,28,100,89,77
2026-09-03,https://enormousdoor.com/launch-contact,53,66,98,96
2026-09-03,https://enormousdoor.com/pricing,77,100,100,96
2026-09-03,https://enormousdoor.com/technical-faq,57,100,98,96
2026-09-03,https://enormousdoor.com/vinyl-mastering,77,100,100,96
2026-09-03,https://enormousdoor.com/,31,100,89,77
